Codigo,Prateleira,Autor,Titulo,Cidade,Editora,Ano Publicação,Genero,Origem,Quantidade Volumes
278,Ficção,"Verne, Julio",Cinco semanas em balão,São Paulo,Hemus,1982,Ficção,Doacao,1
296,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga","Bolsa Amarela, A ",Rio de Janeiro,Agir,1988,Lit. Inf  Juvenil,,1
326,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga","Bolsa Amarela, A ",Rio de Janeiro,Agir,1988,Lit. Inf  Juvenil,Governo,1
332,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga","Bolsa Amarela, A ",Rio de Janeiro,Agir,1988,Lit. Inf  Juvenil,Governo,1
344,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga","Casa da Madrinha, A",Rio de Janeiro,Agir,1986,Lit. Inf  Juvenil,Governo,1
359,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga",Corda Bamba,Rio de Janeiro,Agir,1988,Lit. Inf  Juvenil,Doacao,1
360,Lit. Inf. Juvenil,"Nunes, Lygia Bojunga",Corda Bamba,Rio de Janeiro,Agir,1988,Lit. Inf  Juvenil,Doacao,1
373,Lit. Inf. Juvenil,"Bojunga, Lygia",Angélica,Rio de Janeiro,Casa Lygia Bojunga,2004,Lit. Inf  Juvenil,Governo,1
440,Lit. Inf. Juvenil,"Vieira, Regina","Mistério do Rabanete Vermelho, O",São Paulo,do Brasil,1985,Lit. Inf  Juvenil,Governo,1
445,Lit. Inf  Juvenil,"Galdino, Luiz","Demonio da meia-noite, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,,1
449,Lit. Inf  Juvenil,"Galdino, Luiz","Demonio da meia-noite, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,,1
455,Lit. Inf  Juvenil,"Galdino, Luiz","Demonio da meia-noite, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,,1
465,Lit. Inf  Juvenil,"Galdino, Luiz","Demonio da meia-noite, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,,1
466,Lit. Inf  Juvenil,"Galdino, Luiz","Demonio da meia-noite, O",São Paulo,Moderna,1995,Lit. Inf  Juvenil,,1
472,Lit. Inf. Juvenil,"Chiavenato, José Julio",Doce Manuela,São Paulo,Moderna,1992,Lit. Inf  Juvenil,,1
492,Lit. Inf. Juvenil,"Kupstas, Marcia",Crescer é Perigoso,São Paulo,Moderna,1986,Lit. Inf  Juvenil,Doacao,1
493,Lit. Inf. Juvenil,"Kupstas, Marcia",Crescer é Perigoso,São Paulo,Moderna,1986,Lit. Inf  Juvenil,Doacao,1
496,Lit. Inf. Juvenil,"Kupstas, Marcia",Crescer é Perigoso,São Paulo,Moderna,1986,Lit. Inf  Juvenil,Doacao,1
504,Lit. Inf. Juvenil,"Kupstas, Marcia",Crescer é Perigoso,São Paulo,Moderna,1986,Lit. Inf  Juvenil,Doacao,1
507,Lit. Inf. Juvenil,"Kupstas, Marcia",Crescer é Perigoso,São Paulo,Moderna,1986,Lit. Inf  Juvenil,Doacao,1
515,Lit. Inf  Juvenil,"Nicolelis, Giselda Laporta",Pássaro contra a Vidraça,São Paulo,Moderna ,1992,Lit. Inf  Juvenil,Governo,1
546,Lit. Inf. Juvenil,"Kupstas, Marcia","Preciso lutar, É ",São Paulo,FTD,1994,Lit. Inf  Juvenil,Governo,1
548,Lit. Inf. Juvenil,"Kupstas, Marcia","Preciso lutar, É ",São Paulo,FTD,1994,Lit. Inf  Juvenil,Governo,1
560,Lit. Inf. Juvenil,"Carr, Stella","Monstro do Morumbi, O",São Paulo,Moderna,1984,Lit. Inf  Juvenil,,1
571,Lit. Inf. Juvenil,"Carr, Stella","Monstro do Morumbi, O",São Paulo,Moderna,1984,Lit. Inf  Juvenil,,1
581,Lit. Inf. Juvenil,"Carr, Stella","Monstro do Morumbi, O",São Paulo,Moderna,1984,Lit. Inf  Juvenil,,1
622,Lit. Inf. Juvenil,"Viana, Vivina de Assis",Sabe de uma coisa?: Diário de uma adolescente,São Paulo,Atual,1989,Lit. Inf  Juvenil,Governo,1
634,Lit. Inf. Juvenil,"Magalhães, Roberto","Orelhinha Orelhuda sabe nada, sabe tudo!",São Paulo,do Brasil,1985,Lit. Inf  Juvenil,,1
635,Lit. Inf. Juvenil,"Magalhães, Roberto","Orelhinha Orelhuda sabe nada, sabe tudo!",São Paulo,do Brasil,1985,Lit. Inf  Juvenil,,1
644,Lit. Inf. Juvenil,"Magalhães, Roberto","Orelhinha Orelhuda sabe nada, sabe tudo!",São Paulo,do Brasil,1985,Lit. Inf  Juvenil,,1
665,Lit. Inf. Juvenil,"Galdino, Luiz",Sacici siriri sici,São Paulo,do Brasil,1985,Lit. Inf  Juvenil,,1
668,Lit. Inf. Juvenil,"Galdino, Luiz",Sacici siriri sici,São Paulo,do Brasil,1985,Lit. Inf  Juvenil,,1
693,Lit. Inf. Juvenil,"Fittipaldi, Ciça",Cada ponto aumenta um conto,São Paulo,Ed. Brasil,1986,Lit. Inf  Juvenil,Doacao,1
713,Diversos,"Rubira, Manoel Carlos","Ligia, Menina",São Paulo,do Brasil,1985,Lit. Inf  Juvenil,Governo,1
762,Lit. Inf. Juvenil,"Furtado, Maria Cristina",Flor de Maio,São Paulo,Brasil S/A,,Lit. Inf. Juvenil,,1
769,Lit. Inf. Juvenil,"Furtado, Maria Cristina",Flor de Maio,São Paulo,Brasil S/A,,Lit. Inf. Juvenil,,1
773,Lit. Inf. Juvenil,"Furtado, Maria Cristina",Flor de Maio,São Paulo,Brasil S/A,,Lit. Inf  Juvenil,,1
788,Lit. Inf. Juvenil,"Carneiro, Caio Porfírio",Profissão: Esperança,São Paulo,Ed. Brasil,1985,Lit. Inf  Juvenil,Governo,1
819,Lit. Inf. Juvenil,"Bandeira, Pedro","Droga da Obediência, A",São Paulo,Moderna,1992,Lit. Inf  Juvenil,Doacao,1
948,Lit. Inf. Juvenil,"Agostinho, Cristina",Pai sem terno e gravata,São Paulo,Moderna ,1992,Lit. Inf  Juvenil,,1
953,Lit. Inf. Juvenil,"Agostinho, Cristina",Pai sem terno e gravata,São Paulo,Moderna ,1992,Lit. Inf  Juvenil,,1
983,Lit. Inf. Juvenil,"Telles, Carlos Queiroz","Rock das Estrelas, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,Governo,1
986,Lit. Inf. Juvenil,"Telles, Carlos Queiroz","Rock das Estrelas, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,Governo,1
989,Lit. Inf. Juvenil,"Telles, Carlos Queiroz","Rock das Estrelas, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,Governo,1
992,Lit. Inf. Juvenil,"Telles, Carlos Queiroz","Rock das Estrelas, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,Governo,1
994,Lit. Inf. Juvenil,"Telles, Carlos Queiroz","Rock das Estrelas, O",São Paulo,Moderna,1993,Lit. Inf  Juvenil,Governo,1
1039,Lit. Inf. Juvenil,"Bloch, Pedro","Segredo de Taquinho, O",São Paulo,Nacional ,1984,Lit. Inf  Juvenil,,1
1043,Lit. Inf. Juvenil,"Bloch, Pedro","Segredo de Taquinho, O",São Paulo,Nacional ,1984,Lit. Inf  Juvenil,,1
1058,Lit Inf. Juvenil,"Bloch, Pedro","Garotão, O",São Paulo,Nacional,1987,Lit. Inf  Juvenil,Doacao,1
1086,Lit. Inf  Juvenil,"Guimarães, José","Avião que não sabia voar, O",São Paulo,Nacional,1984,Lit. Inf  Juvenil,,1
